Rk,School,Conf,,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
61,New Mexico,MWC,,22,12,80.9,74.3,6.59,,5.22,,12.61,-1.79,10.82,113.45,98.47,14.98
62,North Texas,CUSA,,31,7,64.5,55.8,8.71,,2.51,,-4.93,15.64,10.71,110.3,92.94,17.36
63,Villanova,Big East,,17,17,69.6,67.7,1.91,,8.69,,2.48,8.12,10.61,112.68,97.01,15.66
64,Pittsburgh,ACC,,24,12,75.1,69.7,5.39,,5.2,,6.56,4.03,10.59,113.34,98.01,15.33
65,Clemson,ACC,,23,11,74.7,67.9,6.82,,3.71,,6.03,4.51,10.53,110.66,95.54,15.12
66,Washington State,Pac-12,,17,17,68.4,65.7,2.62,,7.91,,2.19,8.33,10.53,112.19,96.78,15.41
67,Nevada,MWC,,22,11,72.6,67.8,4.82,,6.41,,4.55,5.45,10.01,110.8,95.99,14.81
68,Virginia Commonwealth,A-10,,27,8,70.9,62.9,7.94,,1.95,,1.88,8.01,9.89,105.83,91.65,14.17
69,Stanford,Pac-12,,14,19,70.3,68.4,1.97,,7.67,,4.91,4.73,9.64,113.91,100.23,13.68
70,Brigham Young,WCC,,19,15,75.5,69.9,5.65,,5.4,,5.35,4.08,9.43,107.41,93.73,13.69
71,Virginia Tech,ACC,,19,15,74.1,70.1,4.06,,5.3,,6.39,2.97,9.36,113.86,100.01,13.84
72,Vanderbilt,SEC,,22,15,71.9,71.5,0.43,,8.55,,6.07,2.91,8.98,113.28,100.58,12.69
73,Dayton,A-10,,22,12,68.6,61,7.62,,1.09,,-1.6,10.31,8.71,108.75,95.31,13.44
74,St. John's (NY),Big East,,18,15,77.3,75.2,2.15,,6.49,,10.42,-1.78,8.64,108.08,96.1,11.98
75,Oral Roberts,Summit,,30,5,83.3,70.2,13.06,,-2.84,,9.32,-0.78,8.55,112.16,100.62,11.53
76,Santa Clara,WCC,,23,10,76.9,73.1,3.79,,5.05,,7.78,0.76,8.55,109.68,98.02,11.66
77,Utah Valley,WAC,,28,9,77.4,68.6,8.78,,1.83,,5.17,3.31,8.48,105.9,94.3,11.6
78,College of Charleston,CAA,,31,4,80.1,67.2,12.89,,-4.02,,7.9,0.5,8.4,107.74,96.51,11.23
79,Liberty,A-Sun,,27,9,74.7,60.9,13.75,,-1.91,,0.85,7.51,8.36,110.16,96.7,13.46
80,Wake Forest,ACC,,19,14,76.6,73.8,2.82,,5.43,,8.56,-0.32,8.25,111.95,100.4,11.55
81,Drake,MVC,,27,8,74.8,63.9,10.89,,-1.14,,2.53,5.3,7.84,107.5,95.6,11.9
82,Yale,Ivy,,21,9,75.8,63.2,12.53,,-1.62,,2.05,5.76,7.81,107.79,96.19,11.6
83,Iona,MAAC,,27,8,76,65.6,10.37,,-2.76,,4.88,2.74,7.61,109.64,98.65,10.99
84,Kent State,MAC,,28,7,76.1,65.9,10.29,,-1.22,,2.15,5.39,7.53,104.78,94.37,10.41
85,Nevada-Las Vegas,MWC,,19,13,74.3,70,4.22,,5.17,,5.68,1.52,7.2,106.96,96.93,10.03
86,Sam Houston,WAC,,26,8,72.2,59.3,12.91,,1.08,,-2.47,9.61,7.15,104.4,93.82,10.59
87,Marshall,Sun Belt,,24,8,81.8,71.3,10.47,,-2.84,,9.5,-2.37,7.13,107.95,98.98,8.98
88,Nebraska,Big Ten,,16,16,68,69.9,-1.91,,9.02,,1.8,5.31,7.12,106.08,95.91,10.17
89,Washington,Pac-12,,16,16,69.2,70.3,-1.16,,7.94,,3.86,2.92,6.78,105.03,95.62,9.41
90,Bradley,MVC,,25,10,70.7,62.7,7.94,,-0.67,,-0.46,6.97,6.51,106.51,96.63,9.88
91,Saint Louis,A-10,,21,12,75.5,71.2,4.39,,2.85,,6.56,-0.53,6.04,110.69,101.59,9.1
92,San Francisco,WCC,,20,14,76.2,73.4,2.79,,3.63,,5.29,0.71,6,108.82,100.56,8.25
93,Butler,Big East,,14,18,65.3,67.9,-2.69,,8.54,,-2.58,8.43,5.85,102.8,95.12,7.68
94,Wichita State,AAC,,17,15,71,68.5,2.53,,3.25,,1.05,4.73,5.78,105.38,97.19,8.18
95,Toledo,MAC,,27,8,85.4,76.9,8.51,,-2.57,,11.97,-6.21,5.76,117.19,109.2,7.99
96,Mississippi,SEC,,12,21,67.5,69.1,-1.58,,7.3,,0.8,4.93,5.73,105.82,97.99,7.83
97,Colorado State,MWC,,15,18,72.5,71.4,1.09,,5.86,,4.41,1.24,5.64,111.41,103.44,7.97
98,Tulane,AAC,,20,11,79.9,77.2,2.77,,2.69,,10.59,-5.13,5.46,108.18,100.57,7.62
99,Syracuse,ACC,,17,15,74.1,72.9,1.22,,4.17,,4.63,0.76,5.39,108.95,101.57,7.39
100,San Jose State,MWC,,21,14,67.5,66.2,1.26,,4.52,,-1.21,6.38,5.17,107.83,100.16,7.68
101,Loyola Marymount,WCC,,19,12,75.3,73.1,2.26,,4.32,,3.71,1.27,4.98,108.23,100.86,7.36
102,Hofstra,CAA,,25,10,74.8,66.4,8.43,,-2.3,,3.52,1.44,4.96,107.78,100.16,7.62
103,James Madison,Sun Belt,,22,11,80.5,68.1,12.48,,-2.31,,5.8,-0.84,4.96,105.25,98.99,6.26
104,Furman,Southern,,28,8,80.9,71.2,9.67,,-2.9,,6.9,-2.02,4.89,111.77,104.81,6.96
105,Indiana State,MVC,,23,13,79.3,69.6,9.67,,-4.02,,6.84,-1.98,4.86,108.23,101.49,6.74
106,Princeton,Ivy,,23,9,75.5,68.5,7,,-0.97,,2.98,1.78,4.76,107.23,100.6,6.63
107,Temple,AAC,,16,16,69.6,70.2,-0.63,,5.3,,1.75,2.93,4.68,105.53,98.62,6.91
108,Grand Canyon,WAC,,24,12,75.2,67.3,7.92,,1.27,,2.18,2.25,4.43,109.2,103.11,6.1
109,Louisiana,Sun Belt,,26,8,77.4,69.5,7.88,,-0.51,,5.12,-0.85,4.27,109.33,102.89,6.44
110,Akron,MAC,,22,11,74.6,66.9,7.7,,-1.65,,0.99,3.21,4.19,107.23,101.11,6.12
111,UC Irvine,Big West,,23,12,74.8,67.2,7.57,,-0.6,,3.2,0.96,4.16,104.97,99.04,5.93
112,Charlotte,CUSA,,22,14,66.9,62.6,4.36,,-0.46,,-4.4,8.3,3.9,108.27,102.11,6.16
113,South Alabama,Sun Belt,,19,16,70.9,65.2,5.74,,-0.49,,-0.59,4.16,3.58,105.86,99.93,5.93
114,Duquesne,A-10,,20,13,74.9,71.3,3.64,,-0.16,,3.23,0.25,3.48,106.87,101.6,5.27
115,Southern Utah,WAC,,24,13,82.8,74.7,8.11,,1.42,,8.94,-5.55,3.39,107.19,102.48,4.71
116,Louisiana State,SEC,,14,19,67.6,70.7,-3.12,,6.44,,0.01,3.31,3.32,105.88,101.73,4.16
117,Southern Mississippi,Sun Belt,,25,8,73.8,66.1,7.7,,-1.56,,1.66,1.65,3.31,104.19,99.29,4.9
118,UC Santa Barbara,Big West,,27,8,71.7,65.9,5.86,,-2.03,,0.17,3.14,3.3,108.11,103.27,4.84
119,Middle Tennessee,CUSA,,19,14,70.1,67.8,2.33,,2.08,,0.29,2.66,2.95,104.44,99.97,4.46
120,DePaul,Big East,,10,23,71.2,77.3,-6.12,,9.03,,4.63,-1.72,2.9,106.06,101.64,4.42
121,Fresno State,MWC,,11,20,63.7,65.7,-2,,5.1,,-4.3,6.9,2.6,102.11,98.71,3.4
122,Hawaii,Big West,,22,11,66.9,61.8,5.12,,-2.17,,-4.63,6.99,2.36,100.21,96.45,3.76
123,Fordham,A-10,,25,8,72,67.6,4.39,,-2.14,,1.17,1.09,2.26,101.29,98.2,3.08
124,Colgate,Patriot,,26,9,78.1,69.3,8.77,,-5.86,,4.88,-2.67,2.2,110.61,107.27,3.33
125,Montana State,Big Sky,,25,10,73.9,66.9,7.03,,-1.43,,-1.9,4.07,2.18,102.17,98.77,3.4
126,Notre Dame,ACC,,11,21,69.6,72.1,-2.5,,4.59,,0.64,1.45,2.09,108.66,105.79,2.87
127,Georgia Tech,ACC,,15,18,69.7,70.8,-1.03,,4.89,,-0.38,2.47,2.08,103.34,101.07,2.28
128,Wyoming,MWC,,9,22,69.2,72.1,-2.9,,6.12,,0.62,1.41,2.02,106.69,104.22,2.47
129,Air Force,MWC,,14,18,66.9,67.1,-0.13,,2.12,,-2.88,4.88,2,105.6,102.93,2.68
130,Davidson,A-10,,16,16,69.9,68.7,1.22,,1.47,,0.02,1.97,1.99,105.97,103.07,2.9
131,South Florida,AAC,,14,18,72,72,0,,1.95,,1.64,0.3,1.95,104.64,101.56,3.08
132,Belmont,MVC,,21,11,76.5,71.8,4.63,,-1.93,,4.99,-3.12,1.88,108.61,105.81,2.8
133,Georgia,SEC,,16,16,68.5,71.5,-3,,4.8,,0.36,1.44,1.8,103.05,100.42,2.63
134,Cal State Fullerton,Big West,,20,13,69.2,65.1,4.09,,-0.27,,-1.78,3.51,1.73,101.66,99.03,2.64
135,George Mason,A-10,,20,13,68.7,67.3,1.45,,0.27,,-2.48,4.2,1.73,101.31,98.76,2.54
136,Portland,WCC,,14,19,77.8,78.6,-0.85,,4.13,,6.28,-4.6,1.68,108.66,106.43,2.22
137,Youngstown State,Horizon,,24,10,81.9,72.5,9.41,,-5.83,,6.45,-4.78,1.67,110.1,107.91,2.19
138,UNC Greensboro,Southern,,20,12,72.1,64.5,7.56,,-2.91,,-3.66,5.32,1.66,99.76,97.23,2.53
139,Vermont,AEC,,23,11,72.7,66.9,5.74,,-3.13,,-0.81,2.43,1.63,106.75,103.83,2.92
140,Eastern Washington,Big Sky,,23,11,76.7,71.4,5.24,,-1.62,,4.05,-2.58,1.47,107.98,105.72,2.26
141,Richmond,A-10,,15,18,68.9,67.8,1.09,,0.34,,-2.07,3.5,1.43,103.2,100.89,2.31
142,Troy,Sun Belt,,20,13,73.2,66.8,6.36,,-1.25,,0.02,1.37,1.39,101.47,99.74,1.74
143,Southern Illinois,MVC,,23,10,65.7,61.4,4.3,,-2.14,,-6.73,7.88,1.15,99.98,98,1.99
144,Boston College,ACC,,16,17,66.6,70.2,-3.64,,4.73,,-1.8,2.89,1.09,101.85,100.5,1.35
145,Ohio,MAC,,19,14,78.8,73.1,5.73,,-2.68,,3.89,-2.82,1.07,107.98,106.42,1.57
146,Seattle,WAC,,20,12,72,69,2.94,,0.67,,-0.85,1.76,0.91,99.81,98.42,1.39
147,Pennsylvania,Ivy,,17,13,75,72,2.97,,-1.11,,3.04,-2.18,0.85,106.39,104.79,1.6
148,Stephen F. Austin,WAC,,19,13,75.8,69.9,5.91,,-0.69,,2.7,-1.98,0.73,103.23,101.75,1.48
149,UC Riverside,Big West,,22,12,72.4,69.2,3.26,,-0.34,,1.15,-0.43,0.72,103.94,103.04,0.9
150,Cornell,Ivy,,17,11,81.7,76,5.64,,-2.41,,8.57,-7.94,0.63,109.12,108.68,0.44
151,Massachusetts-Lowell,AEC,,26,8,78,66,12.06,,-8.53,,2.23,-1.6,0.63,104.64,103.84,0.8
152,Kennesaw State,A-Sun,,26,9,75,69,6.03,,-2.06,,1.06,-0.46,0.6,101.95,101.23,0.73
153,Samford,Southern,,21,11,78.7,71.6,7.16,,-4.36,,3.48,-2.98,0.5,106.27,105.45,0.82
154,Missouri State,MVC,,17,15,65.6,63.2,2.41,,-1,,-5.58,5.94,0.35,102.23,101.88,0.35
155,Towson,CAA,,21,12,71.8,66.7,5.03,,-4.79,,-1.25,1.49,0.24,104.94,104.06,0.89
156,California Baptist,WAC,,17,16,69.4,65.3,4.09,,-0.69,,-4.74,4.95,0.21,101.16,100.7,0.46
157,Louisiana Tech,CUSA,,15,18,72.2,70.3,1.91,,1.9,,0.68,-0.58,0.1,103.51,103.5,0.01
158,Oregon State,Pac-12,,11,21,61.2,67,-5.78,,6.6,,-6.44,6.52,0.08,99.92,100.57,-0.65
159,Pepperdine,WCC,,9,22,78,81.3,-3.32,,4.71,,6.47,-6.59,-0.12,103.84,103.68,0.17
160,Southern Methodist,AAC,,10,22,70.3,75.6,-5.31,,5.2,,1.91,-2.03,-0.12,101.69,101.54,0.15
161,Utah Tech,WAC,,14,19,75.6,73.3,2.27,,1.01,,2.73,-2.89,-0.16,105.55,105.85,-0.31
162,East Carolina,AAC,,16,17,68.8,70.5,-1.7,,1.41,,-1.83,1.54,-0.29,101.1,101.39,-0.29
163,Minnesota,Big Ten,,9,22,62.9,71,-8.16,,7.86,,-2.4,2.1,-0.3,101.62,102.45,-0.83
164,UC Davis,Big West,,18,14,74.8,71.1,3.69,,-1.74,,2.75,-3.06,-0.31,101.8,102.03,-0.23
165,Saint Joseph's,A-10,,16,17,72.4,72.4,-0.03,,-0.3,,1.91,-2.24,-0.33,102.86,103.56,-0.7
166,Florida State,ACC,,9,23,69.3,76.2,-6.88,,6.5,,1.96,-2.34,-0.38,104.36,104.9,-0.54
167,Old Dominion,Sun Belt,,19,12,66.9,66.2,0.68,,-0.64,,-3.78,3.37,-0.41,100.27,101.25,-0.98
168,Pacific,WCC,,15,18,75.8,77.7,-1.91,,2.05,,4.62,-5.19,-0.56,105.3,106.15,-0.85
169,Long Beach State,Big West,,17,16,76.5,74.4,2.09,,-0.42,,7.06,-7.64,-0.58,102.4,103.37,-0.98
170,Harvard,Ivy,,14,14,68.4,66.4,2,,-2.02,,-4.46,3.75,-0.71,99.21,100.08,-0.86
171,UTEP,CUSA,,14,18,68.5,68.5,0,,1.82,,-3.21,2.46,-0.74,97.51,98.37,-0.86
172,Tarleton State,WAC,,17,17,71.9,67.9,4.06,,1.71,,-2.61,1.85,-0.76,100.34,101.74,-1.4
173,Western Kentucky,CUSA,,17,16,71.4,70.6,0.76,,1.09,,-0.75,-0.06,-0.81,101.78,103,-1.21
174,Northern Kentucky,Horizon,,22,13,67.8,63.5,4.23,,-2.89,,-6.79,5.96,-0.83,100.97,101.75,-0.79
175,Georgetown,Big East,,7,25,69.5,78.1,-8.59,,7.52,,2.14,-3.21,-1.07,103.64,105.14,-1.5
176,Montana,Big Sky,,17,14,69.3,68.2,1.06,,-1.85,,-2.47,1.32,-1.15,105.26,107.09,-1.83
177,UNC Wilmington,CAA,,24,10,68.9,64.3,4.59,,-3.05,,-4.17,2.99,-1.17,100.18,101.63,-1.45
178,Ball State,MAC,,20,12,76.4,71.6,4.78,,-3.5,,1.47,-2.67,-1.2,105.65,107.02,-1.37
179,St. Bonaventure,A-10,,14,18,66.8,67.7,-0.91,,-0.41,,-4.46,3.14,-1.32,99.45,101.23,-1.77
180,Massachusetts,A-10,,15,16,69.8,71.4,-1.65,,0.3,,0.29,-1.63,-1.34,98.27,100.39,-2.13
181,Eastern Kentucky,A-Sun,,23,14,78.6,73.5,5.11,,-1.62,,2.44,-3.91,-1.47,101.28,103.22,-1.94
182,Appalachian State,Sun Belt,,16,16,70.3,64.6,5.66,,-0.98,,-5.3,3.8,-1.5,98.73,101.02,-2.29
183,New Mexico State,WAC,,9,15,73.7,71.7,2.04,,2.45,,1.42,-2.97,-1.56,103.88,106.1,-2.22
184,UNC Asheville,Big South,,27,8,74.4,69.1,5.31,,-4.35,,-0.09,-1.65,-1.74,100.46,103.08,-2.62
185,Longwood,Big South,,20,12,73.2,66.2,6.94,,-6.35,,-3.19,1.44,-1.75,101.63,103.83,-2.2
186,South Dakota State,Summit,,19,13,70.9,69.8,1.16,,-2.07,,-2,0.19,-1.82,101.27,103.6,-2.34
187,Radford,Big South,,21,15,69.3,64.8,4.56,,-3.86,,-4.39,2.53,-1.86,101.7,104.28,-2.57
188,George Washington,A-10,,16,16,76.3,76.7,-0.44,,-0.61,,5.67,-7.6,-1.93,107.72,110.12,-2.4
189,Lipscomb,A-Sun,,20,13,76.4,71,5.39,,-4.02,,1.65,-3.6,-1.95,101.66,104.58,-2.92
190,Rice,CUSA,,19,16,76.9,76.6,0.37,,1.4,,4.94,-6.89,-1.95,106.13,108.79,-2.65
191,San Diego,WCC,,11,20,77.1,80.5,-3.35,,3.28,,5.69,-7.75,-2.06,108.88,111.66,-2.79
192,Drexel,CAA,,17,15,66.7,62.4,4.31,,-5.43,,-6.38,4.11,-2.27,98.51,101.3,-2.79
193,South Carolina,SEC,,11,21,64.3,72.6,-8.28,,6,,-3.41,1.13,-2.28,102.13,105.85,-3.73
194,Texas State,Sun Belt,,16,19,66,66.7,-0.71,,-0.7,,-5.22,2.9,-2.32,101.6,105.15,-3.56
195,Chattanooga,Southern,,18,17,77.2,72.1,5.11,,-3.34,,1.97,-4.3,-2.34,104.94,108.19,-3.26
196,Wright State,Horizon,,18,15,79.9,73.7,6.21,,-5.89,,4.18,-6.52,-2.34,101.75,105.18,-3.43
197,Quinnipiac,MAAC,,20,12,73,69.7,3.25,,-5.2,,1.17,-3.6,-2.43,101.33,104.87,-3.54
198,Brown,Ivy,,14,13,69.6,69.3,0.22,,-2.69,,-2.35,-0.12,-2.47,97.53,100.79,-3.25
199,Texas A&M-Corpus Christi,Southland,,24,11,80.1,73.2,6.91,,-7.02,,2.27,-4.84,-2.57,103.85,107.1,-3.25
200,Cleveland State,Horizon,,21,14,71.8,68.7,3.06,,-5.05,,-2.26,-0.33,-2.6,101.45,105.15,-3.7
201,Florida Gulf Coast,A-Sun,,17,15,71.3,69.4,1.81,,-3.08,,-1.91,-0.72,-2.63,101.46,105.28,-3.82
202,Northern Iowa,MVC,,14,18,70.1,69.9,0.19,,-1.07,,-1.49,-1.2,-2.68,101.26,105.11,-3.85
203,Florida International,CUSA,,14,18,73.1,75.1,-2.03,,0.32,,1.62,-4.33,-2.71,100.69,103.96,-3.26
204,Abilene Christian,WAC,,13,17,75,71.1,3.87,,0.9,,1.19,-3.98,-2.79,102.67,106.34,-3.67
205,La Salle,A-10,,15,19,69.8,72.6,-2.76,,-0.02,,-0.62,-2.17,-2.79,101.27,105.34,-4.07
206,Navy,Patriot,,18,13,69.4,64.9,4.48,,-6.12,,-4.65,1.86,-2.79,100.2,103.95,-3.75
207,Stetson,A-Sun,,17,14,76.8,73.8,3.03,,-2.69,,2.37,-5.2,-2.83,108.72,112.61,-3.89
208,North Carolina Central,MEAC,,18,12,75.6,65.9,9.7,,-6.1,,-2.66,-0.25,-2.91,97.86,101.81,-3.96
209,Weber State,Big Sky,,18,15,67.2,67.5,-0.3,,-1.33,,-5.53,2.59,-2.94,97.37,101.82,-4.44
210,Buffalo,MAC,,15,17,77.5,77.7,-0.13,,0.67,,3.67,-6.64,-2.97,101.05,104.33,-3.27
211,St. Thomas,Summit,,19,14,74.2,70.2,3.97,,-4.65,,-0.5,-2.6,-3.1,105.18,109.26,-4.08
212,Detroit Mercy,Horizon,,14,19,76.6,75.3,1.24,,-3.61,,3.03,-6.23,-3.21,107.45,112.14,-4.69
213,Georgia Southern,Sun Belt,,17,16,68.4,66.7,1.7,,-2.02,,-4.87,1.62,-3.25,97.6,102.2,-4.6
214,California,Pac-12,,3,29,58.3,70.1,-11.78,,8.43,,-7.67,4.32,-3.36,96.77,102.85,-6.08
215,Siena,MAAC,,17,15,68.6,67.2,1.38,,-4.82,,-2.88,-0.56,-3.44,99.41,104.17,-4.76
216,Rider,MAAC,,16,14,70.2,67.6,2.6,,-4.9,,-2.13,-1.36,-3.49,103.31,108.21,-4.9
217,Bryant,AEC,,17,13,79.4,73.1,6.27,,-4.52,,3.75,-7.34,-3.59,101.85,106.94,-5.09
218,Norfolk State,MEAC,,22,11,75.8,68.6,7.18,,-6.62,,-1.5,-2.22,-3.72,104.49,109.64,-5.15
219,Gardner-Webb,Big South,,15,16,70.7,65.5,5.16,,-4.64,,-5.77,1.92,-3.84,95.55,100.8,-5.25
220,Northern Arizona,Big Sky,,12,23,73.7,74.7,-0.97,,-0.2,,0.85,-4.72,-3.87,104.01,109.33,-5.32
221,Grambling,SWAC,,24,9,69,62.2,6.73,,-8.48,,-6.85,2.82,-4.03,95.23,100.34,-5.11
222,Queens (NC),A-Sun,,18,15,77.7,74.6,3.06,,-4.26,,2.57,-6.72,-4.16,104.17,110.37,-6.21
223,Rhode Island,A-10,,9,22,66,70.6,-4.65,,0.49,,-4.41,0.25,-4.16,95.98,101.65,-5.67
224,Murray State,MVC,,17,15,70.4,72,-1.59,,-1.61,,-0.81,-3.64,-4.45,102.41,109.43,-7.02
225,North Dakota State,Summit,,16,17,72.8,73.2,-0.3,,-2.11,,-1.31,-3.25,-4.56,101.09,107.3,-6.21
226,Sacramento State,Big Sky,,14,18,66.1,67.8,-1.72,,-1.6,,-6.07,1.44,-4.63,100.49,107.55,-7.06
